[2016-12-14 10:38:12,881]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 02 00 C0 01 00 00 FF FF 00
[2016-12-14 10:38:13,085]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 02 00 B0 01 00 00 00 00 00
[2016-12-14 10:38:13,500]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 03 00 C0 01 00 00 FF FF 00
[2016-12-14 10:38:13,709]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 03 00 B0 01 00 00 00 00 00
[2016-12-14 10:38:14,101]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 04 00 C0 01 00 00 FF FF 00
[2016-12-14 10:38:14,341]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 04 00 B0 01 00 00 00 00 00
[2016-12-14 10:38:14,704]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 05 00 C0 01 00 00 FF FF 00
[2016-12-14 10:38:14,835]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 05 00 B0 01 00 00 00 00 00
[2016-12-14 10:38:15,304]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 06 00 C0 01 00 00 FF FF 00
[2016-12-14 10:38:15,452]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 06 00 B0 01 00 00 00 00 00
[2016-12-14 10:38:15,905]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 07 00 C0 01 00 00 FF FF 00
[2016-12-14 10:38:16,002]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 07 00 B0 01 00 00 00 00 00
